0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
267,464,743,2676,2191,2192,2193,1599,267,243,387,1138,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,1396,537,1,85,1,1,2194,392,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3567,1,110,403,476,1819,1,1397,1,3567,1136,1820,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,1,700,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,143,98,2195,2677,291,903,1600,2196,1601,431,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,4,33,445,15,312,84,1602,1821,4,33,27,2678,66,3568,3569,2,0,0,0,0,0,0,0,0,0,0,0
9,744,1822,520,9,41,2679,904,3570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2197,3571,129,121,538,36,3572,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,432,1,53,2198,965,896,905,701,2199,1823,215,966,1603,8,741,2,2,0,0,0,0,0,0,0,0,0,0
266,1824,446,477,266,315,658,899,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1825,3573,745,1254,4,61,57,277,2200,490,593,3574,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1604,165,216,746,97,38,967,45,433,363,118,968,594,2,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,68,301,43,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,969,1,269,3575,632,434,19,374,69,360,3576,2184,2681,846,223,2201,69,1,0,0,0,0,0,0,0,0,0
119,337,1826,119,2682,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1399,27,1,659,1827,660,435,1399,27,566,100,2202,3577,2203,2,0,0,0,0,0,0,0,0,0,0,0,0
69,3,906,970,1819,1,1,69,539,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,1243,799,1400,1401,2683,907,3578,339,1605,177,195,1,3579,1,2,0,0,0,0,0,0,0,0,0,0,0,0
278,278,1062,39,92,142,268,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,3,233,340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,1063,1,971,390,3580,234,563,1,129,6,435,3581,3582,1,2,0,0,0,0,0,0,0,0,0,0,0,0
70,3,702,800,521,56,747,362,70,540,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,392,3583,275,375,61,3584,1811,970,51,94,3585,3586,539,3587,541,3588,292,2684,0,0,0,0,0,0,0,0,0
242,3589,1,633,4,1064,1255,1828,242,325,1139,1402,5,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,364,1,12,79,661,1,2685,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,388,1,1,1065,404,134,68,43,2686,1,2687,389,7,1,1814,1829,4,1256,436,972,906,2688,0,0,0,0,0
174,662,1,135,2204,1403,174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,110,403,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1607,1,4,33,165,216,746,97,38,967,45,433,363,118,968,594,2,0,0,0,0,0,0,0,0,0,0
376,1065,1,447,1830,1608,1404,1831,847,376,1609,1832,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1833,4,33,1,196,3590,703,1405,188,111,1,76,465,59,1,2,2,0,0,0,0,0,0,0,0,0,0
174,568,2688,418,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,405,1834,85,2689,569,595,131,14,2,1257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,3,50,377,62,24,2,1406,268,1140,1066,973,2205,244,2206,7,1,1,0,0,0,0,0,0,0,0,0,0
157,848,165,847,908,157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3,95,974,1258,1259,112,54,909,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3591,542,2207,2690,9,1407,1,3592,2208,372,34,402,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,18,596,25,1,1141,2691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,2692,1,12,378,3593,2693,1391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3,50,71,3594,206,2694,2,1408,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1812,1,1,87,3595,197,520,136,741,2200,3596,355,356,106,448,2200,1,0,0,0,0,0,0,0,0,0,0
157,2209,157,3597,3598,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,217,270,143,419,748,386,2695,232,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2696,52,1,303,267,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3599,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,1610,3600,1835,174,2210,2211,1391,304,2212,1,50,2697,2,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1,178,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2698,1,1,316,570,1,1,1611,142,975,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,326,218,976,977,88,77,704,663,749,106,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,3,466,116,141,801,849,1260,35,142,206,449,167,393,1409,1836,0,0,0,0,0,0,0,0,0,0,0,0
72,3,2,705,130,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,3,1410,401,1,3601,3602,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,3,1067,1068,317,2213,3603,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,3,406,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,3,22,2699,64,850,2201,222,2693,3604,165,50,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,50,3605,798,706,341,107,1837,1838,910,258,2700,327,1261,2,0,0,0,0,0,0,0,0,0,0,0,0
208,1053,208,2701,325,3606,19,750,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,802,1,258,401,1612,1069,2702,7,1,1839,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,3,803,59,2703,1613,215,1070,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,3,664,6,3607,664,979,2214,1,1599,1,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,565,634,144,911,571,1411,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,3,1142,522,73,572,980,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,180,1,3608,665,1840,1,2704,63,449,751,88,179,707,2,2215,0,0,0,0,0,0,0,0,0,0,0,0
122,73,591,18,122,561,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1841,1,910,2,357,3609,224,981,1412,2216,1,305,1842,2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,666,2705,3610,2217,137,26,1413,514,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1262,245,491,259,851,1414,1,2,11,2218,3611,1415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,180,1,348,97,667,363,64,216,41,982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,2706,1843,1844,349,2,1845,1614,1846,1847,1139,1143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2219,2220,1071,2221,1263,1416,2,2222,1,752,2223,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,3,573,318,597,1072,983,1615,342,30,1417,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,668,1264,7,1,1616,1848,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,3,39,328,845,912,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3612,3613,3614,293,315,1418,329,1849,1073,1850,1073,2707,1,523,225,1144,3615,1,0,0,0,0,0,0,0,0,0
123,1419,74,431,123,1,2708,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3,478,3,136,1145,3616,6,226,2709,407,3617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,3,658,1256,436,236,34,3618,86,2224,2225,39,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1265,1146,543,343,1,329,21,8,635,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3619,1,515,1851,3620,13,1266,3621,2226,73,3622,598,7,1,420,3619,515,2,0,0,0,0,0,0,0,0,0
77,1852,1853,1,14,2710,491,2227,2711,2712,77,544,1,2713,15,2228,2,2,0,0,0,0,0,0,0,0,0,0
9,301,34,3623,198,1854,2714,1,2715,3624,9,434,984,1,28,145,1,2716,0,0,0,0,0,0,0,0,0,0
237,146,708,1,10,2229,408,217,56,2230,1074,237,152,1,3625,0,0,0,0,0,0,0,0,0,0,0,0,0
199,365,270,1,110,403,49,2717,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,180,985,47,491,574,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,753,694,356,219,60,292,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,1053,294,903,467,1147,479,2718,592,450,1,2231,3626,1148,3627,492,1148,2232,754,1,0,0,0,0,0,0,0,0
96,409,2233,1,709,116,986,1,1267,2719,96,2234,3628,1,852,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3,2235,124,84,181,2236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,53,1,1617,575,105,235,3629,1,1618,1149,3630,238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,3,1421,65,3631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,311,1,1855,3632,1619,1,853,669,670,152,374,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3,2720,182,3633,1856,20,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1857,49,1076,3634,246,3580,3635,1422,913,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,671,147,576,1620,329,1268,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,3,2721,511,559,35,492,1621,2237,2722,1269,2,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1423,2238,1,12,524,1150,98,664,987,183,577,1,636,39,2239,336,3636,0,0,0,0,0,0,0,0,0,0
148,560,1,533,2240,2241,89,560,148,2724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,708,389,138,914,1622,330,14,988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1077,668,516,564,1270,672,279,755,2725,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,804,1623,61,157,1424,1,3637,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3,295,166,125,131,14,55,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1151,1,569,429,404,2726,404,2229,2726,386,1624,404,2726,271,277,2,0,0,0,0,0,0,0,0,0,0,0
233,3,233,1425,231,756,279,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,915,14,1859,2242,1625,375,578,394,108,2,11,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,655,116,261,710,579,92,493,805,740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,306,1854,1426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1841,1,910,2,357,3609,224,981,1412,2216,1,305,1842,2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,146,708,1152,2243,525,1,63,63,39,124,39,355,2728,2,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,1078,129,916,296,806,366,906,2729,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,243,387,3638,132,637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,3,466,1079,2244,343,141,2730,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,405,1403,367,1,2,1427,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,358,41,1271,280,1272,1273,1,463,19,44,9,184,1428,358,2,15,0,0,0,0,0,0,0,0,0,0
410,325,228,395,1153,43,673,131,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3,3639,580,2731,39,3640,30,16,3641,757,3642,12,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,639,451,143,535,590,697,255,1626,656,844,657,900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3,16,581,401,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,2732,3643,2245,3644,494,7,1,90,42,7,1,53,1,1860,318,517,1,0,0,0,0,0,0,0,0,0
215,305,1,411,599,545,421,110,567,2246,88,2247,1154,215,1,2,2,0,0,0,0,0,0,0,0,0,0,0
124,3,1861,198,6,16,124,2248,1862,983,129,3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2733,1,659,743,149,2249,418,1863,495,2734,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,200,1429,350,600,3646,261,3647,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,1864,58,1,1864,1430,292,218,392,694,853,975,1,95,674,94,2,0,0,0,0,0,0,0,0,0,0
69,989,1274,1,1080,201,1155,1156,301,1081,331,69,360,2,480,168,0,0,0,0,0,0,0,0,0,0,0,0
152,1,569,601,152,807,452,1,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3,1275,16,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,758,307,546,412,272,20,468,640,990,1403,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,447,602,90,92,1246,55,1276,2250,2,12,1080,2251,793,2,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,911,1277,2252,898,1431,2735,169,52,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3,3648,243,1,597,808,3649,711,2736,1627,235,711,1603,854,0,0,0,0,0,0,0,0,0,0,0,0,0
45,38,1,2253,38,3650,29,45,462,1432,44,992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1433,632,79,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,100,25,1815,188,3651,60,1865,675,1,188,3651,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,676,1,1278,97,667,363,64,216,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4,33,1082,993,189,537,1157,1083,61,297,444,2254,100,2255,1,153,2,2,0,0,0,0,0,0,0,0,0
46,1628,1,258,8,641,46,2256,1629,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,496,6,497,24,177,379,642,231,6,17,21,23,2737,2257,1413,1866,231,0,0,0,0,0,0,0,0,0,0
267,464,743,2191,2192,2193,1599,267,243,387,1138,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,3,3652,109,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,469,145,631,319,1,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3,1434,1435,108,855,302,394,493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,3,209,856,992,677,1630,12,582,160,20,1,1436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1084,201,759,185,760,422,572,481,643,320,678,2,480,168,0,0,0,0,0,0,0,0,0,0,0,0,0
222,3653,2258,188,142,222,1279,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2259,1805,1280,3654,2260,167,393,738,571,3655,498,1867,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,305,1,411,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,994,918,2738,14,55,756,1281,380,3656,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,351,1,1158,1,87,582,3657,526,147,3658,679,1,93,3658,1282,2261,635,2,0,0,0,0,0,0,0,0,0
84,160,1,1868,1159,332,3659,1160,412,2,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,40,113,2739,2,404,1263,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3,565,114,809,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,2740,499,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,165,216,746,97,38,967,45,433,363,118,968,594,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1437,14,295,166,125,131,14,55,1,3660,2,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1438,1439,762,694,99,1594,1807,895,1132,2,2173,6,1133,1055,2174,1808,193,0,0,0,0,0,0,0,0,0,0
9,857,1,3661,226,488,9,184,482,28,547,80,680,453,2,0,0,0,0,0,0,0,0,0,0,0,0,0
210,919,2262,1,411,3662,1631,79,810,30,210,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,3,1283,229,3663,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,270,121,147,2264,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,269,264,1440,78,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,40,381,423,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1,308,165,640,57,40,113,412,194,64,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,3,65,247,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,190,173,81,582,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,4,33,1,2741,321,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,3,451,3664,3665,1085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3666,1,3667,920,17,1632,2742,3668,2,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,1086,1441,995,2265,1442,3670,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2266,93,226,488,9,184,482,28,547,80,680,453,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,543,446,60,1430,38,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,389,1284,1,10,535,590,697,255,963,656,844,657,900,2,11,1087,0,0,0,0,0,0,0,0,0,0,0
47,3,1443,1285,47,1161,644,1633,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,3672,3673,3674,27,1162,3675,41,301,7,1,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,3,186,808,2175,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1,2743,289,996,37,401,1,443,382,3676,29,2744,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,50,645,3677,413,1444,1163,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,180,1,348,2233,1445,1,497,3678,352,921,248,451,416,396,181,1,0,0,0,0,0,0,0,0,0,0,0
126,3,126,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,3679,3680,3681,257,244,3682,1286,454,666,438,3683,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,641,676,420,2267,641,46,336,414,1446,500,68,1164,5,11,436,0,0,0,0,0,0,0,0,0,0,0,0
71,997,1165,1,3684,1613,859,1871,386,753,1634,201,2745,1,249,198,61,1872,1,2,0,0,0,0,0,0,0,0
331,388,1,646,3685,331,167,54,1,3686,418,3687,418,33,2746,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4,712,3688,603,3689,137,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,3,2261,1447,117,1161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2747,276,1,569,450,79,260,1,3690,365,1166,1,479,2748,2,0,0,0,0,0,0,0,0,0,0,0,0
35,3,173,150,74,35,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1070,76,3691,1,293,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,105,2268,344,105,1873,11,3692,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1,1874,4,1064,313,5,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,464,743,2191,2192,2193,1599,267,243,387,1138,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
